id,s1,s1_interaction,s2,s2_interaction,s3,s3_interaction,s4,s4_interaction,s5,s5_interaction,s6,s6_interaction,s6,s6_interaction,s7,s7_interaction,s8,s8_interaction,s9,s9_interaction
1,3,1,5,0,1,1,4,0,4,1,1,1,1,0,1,0,3,0,4,0
2,2,0,3,0,3,0,4,0,5,1,2,1,1,0,1,1,2,0,5,0
3,4,0,3,0,3,1,4,1,4,1,2,1,1,0,1,1,3,0,4,0
4,2,0,4,1,3,0,2,0,4,1,2,1,1,0,2,0,2,0,3,1
5,2,0,5,1,1,1,5,0,4,1,1,0,1,0,2,0,3,1,4,0
6,3,1,5,0,1,1,3,0,4,1,2,1,1,0,3,1,3,0,4,0
7,2,0,3,0,1,0,3,0,4,1,2,1,2,1,2,0,3,0,4,0
8,4,0,5,0,1,1,5,0,5,1,2,1,1,0,2,1,3,0,5,0
9,2,0,5,0,2,1,2,1,4,1,1,1,1,0,2,0,2,0,5,1
10,2,1,5,0,1,1,5,0,4,1,2,1,1,0,2,0,3,0,5,0
11,3,1,4,0,3,1,5,0,4,1,2,1,1,0,2,0,3,0,4,0
12,2,0,5,0,3,0,5,0,3,1,1,1,2,0,2,0,4,0,5,0
13,4,0,3,0,3,1,5,1,4,1,1,1,2,0,3,0,2,0,4,0
14,3,1,5,0,3,1,4,0,4,1,1,1,2,0,2,0,3,0,4,0
15,2,0,5,0,2,0,2,0,4,1,1,1,2,0,2,0,3,0,2,0
16,4,0,5,0,3,0,5,1,4,1,1,1,2,0,3,1,4,0,2,0
17,2,0,5,1,2,0,5,0,4,1,1,1,2,0,2,0,3,0,3,1
18,2,1,5,0,3,0,5,0,4,1,1,1,1,1,2,0,3,1,4,0
19,2,0,3,1,2,0,5,1,3,0,3,1,1,1,3,0,3,1,2,1
20,3,1,5,0,3,0,5,1,4,1,1,1,1,1,3,0,3,0,2,0
21,2,0,5,0,3,0,5,1,5,1,2,1,1,1,3,0,3,0,4,0
22,4,0,3,0,4,1,5,1,5,1,3,1,2,0,2,1,4,0,4,0
23,2,0,5,1,2,1,4,0,4,1,2,1,1,0,1,0,4,0,1,1
24,2,1,2,1,3,0,4,0,4,1,2,1,2,0,2,0,3,0,4,0
25,2,1,5,1,3,0,4,0,3,1,2,1,1,0,2,0,3,0,5,0